,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
1318,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,1,4100,20220429,50130,31027
1319,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,1,4100,20220429,50130,31027
1320,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,4,43600,20220429,50130,31027
1321,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,3,148500,20220429,50130,32021
1322,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,4,128000,20220429,50130,31027
1323,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220429,50130,31027
1324,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,3,26100,20220429,50130,31025
1325,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,20400,20220429,50130,31025
1326,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,2,21800,20220429,50130,31027
1327,기타,그림카페,제주 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리,647949224.0,2,21800,20220429,50130,31027
1328,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220429,50130,31027
1329,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220429,50130,31027
1330,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220429,50130,31027
1331,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,2,18600,20220429,50130,31025
1332,기타,영주말가든,제주 제주시 연북로 196,제주특별자치도 제주시 오라이동,647484343.0,3,68970,20220429,50110,12000
1333,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,4,32000,20220429,50110,13700
1334,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,4,36000,20220430,50130,25923
1335,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,5,45000,20220430,50130,25923
1336,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220430,50130,25923
1337,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,4,36000,20220430,50130,25923
1338,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220430,50130,25923
1339,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220430,50130,25923
1340,기타,봄그리고가을리조트,제주 서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,제주특별자치도 서귀포시 성산읍 시흥리,647842211.0,2,18000,20220430,50130,25923
1341,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220430,50130,31027
1342,기타,토종흑염소농장,제주 서귀포시 남원읍 자배오름로 74-275,제주특별자치도 서귀포시 남원읍 위미리,648055099.0,4,20000,20220430,50130,25327
1343,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,3,24000,20220430,50110,13700
1344,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,1,10200,20220430,50130,31025
1345,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,5,160000,20220430,50130,31027
1346,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220430,50130,31027
1347,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,1,32000,20220430,50130,31027
1348,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220430,50110,13700
1349,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,90000,20220430,50130,32021
1350,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220430,50130,31027
1351,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220430,50130,31027
1352,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,1,32000,20220430,50130,31027
1353,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220430,50130,31027
1354,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,3,96000,20220430,50130,31027
1355,기타,오설록 티뮤지엄,제주 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리,18993929.0,2,64000,20220430,50130,31027
1356,기타,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,제주특별자치도 서귀포시 안덕면 사계리,647928300.0,4,40800,20220430,50130,31025
1357,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,2,16000,20220430,50110,13700
1358,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,1,8000,20220430,50110,13700
1359,기타,본초족욕 수목원테마파크,제주 제주시 은수길 65,제주특별자치도 제주시 연동,647493370.0,4,32000,20220430,50110,13700
