"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"정순화손두부","","","","","09:00","21:00","09:00","21:00","","",""
"황금어장","","","","","10:00","22:00","10:00","22:00","","",""
"바다동굴","","","","","11:30","18:00","","","","",""
"현기네식당","","","","","06:00","15:00","06:00","15:00","","",""
"명품진전복해물탕","","","","","11:00","21:00","11:00","21:00","","",""
"바다풍경횟집","","","","","11:00","23:00","11:00","23:00","","",""
"춤추는오병장의돼지꿈","","","","","15:00","23:00","15:00","23:00","","",""
"둥지식당","","","","","11:00","21:00","11:00","21:00","","",""
"지붕위제주바다","","","","","11:00","18:30","11:00","18:30","","",""
"새로나분식","","","","","11:30","20:00","11:30","20:00","","",""
"수다브런치카페","","","","","10:30","23:00","10:30","23:00","","",""
"기억나는집","","","","","08:30","22:00","08:30","22:00","","",""
"가파도 용궁정식","","","","","10:00","20:00","10:00","20:00","","",""
"신스버거","","","","","10:00","20:00","10:00","20:00","","",""
"범선국수","","","","","","","","","","",""
"모모제이","y","y","","","10:00","22:00","10:00","22:00","","","아보카토 오픈 샌드위치, 팬케이크"
"오름위에버거","","","","","10:30","19:30","10:30","19:30","","",""
"샤라의정원","","","","","11:00","18:00","11:00","18:00","","",""
"키친오즈","","","","","11:00","19:30","11:00","19:30","","",""
"봉평메밀가","","","","","10:00","21:00","10:00","21:00","","",""
"커먼브릭","","","","","11:00","20:30","11:00","20:30","","",""
"커피림","","","","","10:00","22:00","10:00","22:00","","",""
"달아래팥","","","","","11:00","20:00","11:00","20:00","","",""
"뚱삼춘연탄구이","","","","","12:00","22:30","12:00","22:30","","",""
"신우성타운","","","","","08:00","22:30","08:00","22:30","","",""
"탐라면","","","","","09:00","21:00","09:0","21:00","","",""
"그리다앤쿡","","","","","12:00","22:00","12:00","22:00","","",""
"엘리펀시아","","","","","11:00","18:00","11:00","19:00","","",""
"추자도중앙식당","","","","","","","","","","",""
"오로라식당","","","","","07:30","20:30","07:30","20:30","","",""
"영주말가든","","","","","10:00","22:00","10:00","22:00","","",""
"파라다이스비치","","","","","11:00","20:00","11:00","20:00","","",""
"생돈우리","","","","","12:00","22:00","12:00","22:00","","",""
"아지 함덕점","","","","","","","","","","",""
"돌미롱","","","","","11:30","21:00","11:30","21:00","","",""
"미나식탁","","","","","11:30","21:00","11:30","21:00","","",""
"전복사랑","","","","","08:00","20:00","08:00","20:00","","",""
"고집돌우럭(중문)","","","","","10:00","21:00","10:00","21:00","","",""
"중문랜드프리미엄뷔페","","","","","11:30","21:00","11:30","21:00","","",""
"추가네","","","","","09:30","21:00","09:30","21:00","","",""
"지오아라","","","","","","","","","","",""
"평대스낵","","","","","11:30","16:00","11:30","16:00","","",""
"수두리보말칼국수","","","","","08:00","17:00","08:00","17:00","","",""
"바다속고등어쌈밥","","","","","08:00","21:30","08:00","21:30","","",""
"마라도별장식당","","","","","09:00","18:00","09:00","18:00","","",""
"블루밍제이","","","","","11:00","19:00","11:00","19:00","","",""
"카페 깡","","y","","","10:00","20:00","10:00","20:00","","",""
"쌍둥이횟집본점","","","","","11:00","22:30","11:00","22:30","","",""
"어우늘","","","","","11:00","16:00","11:00","16:00","","",""
