"여행일정ID","언어코드","제목","조회수","공유수","여행시작일","여행종료일","인원","여행기간","태그","등록일시","수정일시","추천일정등록여부","공개여부","댓글수","댓글수_1","북마크수","사용여부","SNS공유수","인기점수"
"18319","kr","준우와의 첫 가족 여행! 4박5일 ",0,0,22/04/07,22/04/11,3,5,"아이,휴식과 치유 여행,유채꽃",22/02/16,22/02/16,"n","n",0,0,0,"y",0,
"18344","kr","알고보면 쓸데많은 신비한 제주여행",0,0,22/03/07,22/03/10,2,4,"문화유적지,테마공원,4.3,친구,레저와 체험",22/02/18,22/02/18,"n","y",0,0,0,"y",0,
"18347","kr","가족",1,0,22/02/20,22/02/22,4,3,"아이,휴식과 치유 여행,가족,여유",22/02/18,22/02/18,"n","n",0,0,0,"n",0,2
"18353","kr","제주에서 즐기는 빈티지 쇼핑",1,0,22/02/22,22/02/25,5,4,"친구,빈티지쇼핑,감성소품숍,트렌디여행,휴식과 치유 여행",22/02/19,22/02/19,"n","n",0,0,0,"y",0,2
"18367","kr","한 템포 쉬어가는 여행",0,0,22/03/28,22/03/31,3,4,"부모,휴식과 치유 여행,숲,수목원",22/02/21,22/02/21,"n","y",0,0,0,"y",0,
"18348","kr","5박6일여행",0,0,22/02/19,22/02/24,2,6,"커플,휴식과 치유 여행,걷기,식도락",22/02/19,22/02/19,"n","n",0,0,0,"y",0,
"18350","kr","장유댕 ",1,0,22/02/22,22/02/24,2,3,"친구,휴식과 치유 여행,뚜벅이",22/02/19,22/02/19,"n","n",0,0,0,"y",0,2
"18354","kr","제주한달살기",0,0,22/03/01,22/03/29,2,29,"커플,식도락 여행,치유",22/02/19,22/02/19,"n","n",0,0,0,"y",0,
"18355","kr","첫 제주도 여행",1,0,22/02/26,22/03/06,2,9,"커플,휴식과 치유 여행,뭐",22/02/20,22/02/20,"n","n",0,0,0,"y",0,2
"18356","kr","우리가족 힐링 여행",0,0,22/02/22,22/02/24,2,3,"부모,휴식과 치유 여행,나만,처음,제주도",22/02/20,22/02/20,"n","y",0,0,0,"y",0,
