장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
4196,제주공항,제주특별자치도 제주시 우정로4길 40 네오하임 플러스,공항,33.5049166,126.4932254,2021-05-30,2021-05-30,제주특별자치도 제주시 용담2동 1462,y
4202,공항,제주특별자치도 제주시 도령로 124 신신호텔 제주공항,도착,33.4920333,126.4906505,2021-05-31,2021-05-31,제주특별자치도 제주시 연동 270-2,y
4211,제주 루프탑 게스트하우스,,월정리 3길,33.5529976,126.7972377,2021-06-07,2021-06-07,제주특별자치도 제주시 구좌읍 월정리 93-2,y
4213,제주공항,제주특별자치도 제주시 다호북길 7,제주공항,33.503199,126.4930537,2021-06-08,2021-06-08,제주특별자치도 제주시 용담2동 2580-77,y
4214,갤럭시렌터카,제주특별자치도 제주시 우평로 10,공항1층 게이트 5번-> 횡단번호 건넌 후 8번구역 3번 갤럭시렌트카(제주로렌트카) 차량탑승배차간격 7:45-20:15,33.4964711,126.4810374,2021-06-08,2021-06-08,제주특별자치도 제주시 연동 2478,y
4241,항골,제주특별자치도 제주시 애월로7길 18-3,"고기- 200g 14,000원",33.4987969,126.459647,2021-06-20,2021-06-20,제주특별자치도 제주시 이호동 644,y
4228,종달수다뜰,제주특별자치도 제주시 용눈이오름로 20-5,갈치&전복제주특별자치도 제주시 구좌읍 종달리 2566-1,33.4908553,126.8923164,2021-06-13,2021-06-13,제주특별자치도 제주시 구좌읍 종달리 2561,y
4231,ㅇㅇ,,ㅇㅇ,33.3934837,126.4810375,2021-06-16,2021-06-16,제주특별자치도 제주시 노형동 산220-1,y
4238,문개항아리,,해물라면,33.5494787,126.6447425,2021-06-17,2021-06-17,제주특별자치도 제주시 조천읍 신흥리 919,y
4240,애월바당국수,제주특별자치도 제주시 애월로7길 18-3,"고기국수 7,000원",33.4656239,126.3184793,2021-06-20,2021-06-20,제주특별자치도 제주시 애월읍 애월리 1796,y
4243,김포공항,서울특별시 강서구 하늘길 77 김포공항역,공항에서 출발,37.5660641,126.8012564,2021-06-21,2021-06-21,서울특별시 강서구 방화2동 886,y
4244,팜파스호텔 제주,제주특별자치도 제주시 용해로 16,용담삼동 2555 / 제주시 서해안로 368-3,33.5128989,126.4839103,2021-06-21,2021-06-21,제주특별자치도 제주시 용담삼동,y
4299,함덕해수욕장,,수영,33.5289647,126.6747574,2021-06-29,2021-06-29,제주특별자치도 제주시 조천읍 함덕리 291-7,y
4265,빛의 벙커,제주특별자치도 서귀포시 서성로914번길 52,주소 불명,33.3180794,126.6882475,2021-06-26,2021-06-26,제주특별자치도 서귀포시 남원읍 한남리 1094,y
4266,부촌식당,제주특별자치도 제주시 신성로 51-1,엄마가 가자고 한 곳,33.4959413,126.5250976,2021-06-26,2021-06-26,제주특별자치도 제주시 이도2동 906-8,y
4267,호텔 수영장 해온,제주특별자치도 서귀포시 일주서로594번길 47-14,"5-7시, 9-10시저녁은 치맥",33.2406874,126.415054,2021-06-26,2021-06-26,제주특별자치도 서귀포시 색달동,y
4285,드르쿰다 in 성산,제주특별자치도 서귀포시 일출로 88-19 백기해녀의집,"카페, 디저트",33.4430201,126.9204977,2021-06-27,2021-06-27,제주특별자치도 서귀포시 성산읍 고성리 224-1,y
4287,공항,,주소불명,33.5030489,126.520412,2021-06-27,2021-06-27,제주특별자치도 제주시 삼도1동 538-21,y
4311,금능해수욕장,제주특별자치도 서귀포시 동문로 31,물놀이,33.3848851,126.2189109,2021-06-29,2021-06-29,제주특별자치도 제주시 한림읍 금능리,y
4312,한림공원,제주특별자치도 제주시 한림로 300 한림공원,산책,33.3887546,126.2416558,2021-06-29,2021-06-29,제주특별자치도 제주시 한림읍 협재리 2610-1,y
4313,수월봉전망대,제주특별자치도 제주시 한림로 300 한림공원,구경,33.2882939,126.1632494,2021-06-29,2021-06-29,제주특별자치도 제주시 한경면 고산리 3853-1,y
4315,천지연폭포,제주특별자치도 제주시 한림로 300 한림공원,포,33.2455397,126.5547982,2021-06-29,2021-06-29,제주특별자치도 서귀포시 천지동 578-23,y
4316,올레시장,제주특별자치도 제주시 한림로 300 한림공원,회,33.2441802,126.5595591,2021-06-29,2021-06-29,제주특별자치도 서귀포시 천지동 665,y
4317,공항,제주특별자치도 제주시 다호동길 49,11:10 도착,33.5037715,126.4951137,2021-06-29,2021-06-29,제주특별자치도 제주시 용담2동 1963-5,y
4366,국립제주박물관,제주특별자치도 제주시 일주동로 17 국립제주박물관,ㄴ,33.5127888,126.5482,2021-07-11,2021-07-11,제주특별자치도 제주시 건입동 261,y
4319,제주공항 및 스타렌트카,,19:30 렌트카 인수,33.5000498,126.4968303,2021-06-30,2021-06-30,제주특별자치도 제주시 용담2동 1681-2,y
4359,디엔디파트먼트 제주,제주특별자치도 서귀포시 섭지코지로25번길 64,3째,33.5168419,126.5251583,2021-07-09,2021-07-09,제주특별자치도 제주시 건입동 1445,y
4365,국립제주박물관,,ㄴ니올,33.5136476,126.5511182,2021-07-11,2021-07-11,제주특별자치도 제주시 건입동 277-10,y
4367,우도,제주특별자치도 제주시 일주동로 17 국립제주박물관,첫날 고고,33.5040936,126.9558206,2021-07-11,2021-07-11,제주특별자치도 제주시 우도면 연평리 1430,y
4370,우도,제주특별자치도 제주시 와흘전1길 32 회천운동장,배탄다,33.4975492,126.9603549,2021-07-11,2021-07-11,제주특별자치도 제주시 우도면 연평리 390,y
4208,제주여객터미널,제주특별자치도 제주시 칠머리길 15-10,배타는곳,33.5187527,126.5357676,2021-06-06,2021-06-06,제주특별자치도 제주시 건입동 926,y
4232,제주항,제주특별자치도 제주시 임항로 173 제5부두,여객항,33.5225208,126.5411189,2021-06-16,2021-06-16,제주특별자치도 제주시 건입동 908-9,y
4246,큰엉식당,,갈치조림,33.2791809,126.7018527,2021-06-22,2021-06-22,제주특별자치도 서귀포시 남원읍 남원리 2326-1,y
4251,제주공항,제주특별자치도 제주시 공항로 2 제주국제공항,도착,33.5046303,126.492882,2021-06-22,2021-06-22,제주특별자치도 제주시 용담2동 1946,y
4271,씨앤스타펜션,제주특별자치도 서귀포시 안덕면 병악로 124 삼다도목장,4,33.4633055,126.3162083,2021-06-26,2021-06-26,제주특별자치도 제주시 애월읍 애월리 2100,y
4298,제주공항,제주특별자치도 제주시 공항로 2 제주국제공항,출발,33.5013839,126.4927104,2021-06-29,2021-06-29,제주특별자치도 제주시 용담2동 1930-1,y
4301,ㅎ,제주특별자치도 제주시 1100로 2528-171,ㅎ,33.4778593,126.8070224,2021-06-29,2021-06-29,제주특별자치도 제주시 구좌읍 세화리 산50,y
