콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
케이제주씨워킹,,,,,,,,,,,,,,,
제주잠수함(리더스클럽),9:00,19:00,9:00,19:00,,,,,,,,,,,
모구리오름,,,,,,,,,,,,,,,
범섬,,,,,,,,,,,,,,,
남문지못,,,,,,,,,,,,,,,
1100고지습지,,,,,,,,,,,,,,,
정의향교,,,,,,,,,,,,,,,
천주교 순례길 - 김대건길,,,,,,,,,,,,,,,
북촌환해장성,,,,,,,,,,,,,,,
제라진 제주오프로드 사파리,,,,,,,,,,,,,,,
제주국제예술센터,,,,,,,,,,,,,,,
아프리카박물관,9:00,19:00,9:00,19:00,,,1,y,y,y,y,n,n,y,"휠체어, 유모차"
솔담현경철한의원,9:00,21:00,9:00,13:00,,,,,,,,,,,
박수기정,,,,,,,,,,,,,,,
입산봉(삿갓오름),,,,,,,,,,,,,,,
캔디원,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주올레 10-1코스,,,,,,,,,,,,,,,
제주올레 11코스,,,,,,,,,,,,,,,
핸즈웍스,11:00,20:30,11:00,20:30,,,,,,,,,,,
귀덕연대,,,,,,,,,,,,,,,
유민미술관,9:00,18:00,9:00,18:00,,,1,,,,,,,,
모라이,,,,,,,,,,,,,,,
천주교 순례길 - 김기량길,,,,,,,,,,,,,,,
제주레이크힐스컨트리클럽,6:00,19:00,6:00,19:00,,,,,,,,,,,
최영장군사당,,,,,,,,,,,,,,,
어리목계곡,,,,,,,,,,,,,,,
별방진,,,,,,,,,,,,,,,
"병곳오름 (벵곳오름, 안좌오름)",,,,,,,,,,,,,,,
물영아리오름,,,,,,,,,,,,,,,
다빈치뮤지엄,9:00,18:00,9:00,18:00,,,,,,,,,,,
"저지오름(닥몰오름,새오름)",,,,,,,,,,,,,,,
김녕 지질트레일,,,,,,,,,,,,,,,
테디베어뮤지엄제주,9:00,18:00,9:00,18:00,,,,y,y,y,y,n,y,y,"휠체어, 유모차 등"
물찻오름,,,,,,,,,,,,,,,
사라봉,,,,,,,,,,,,,,,
노을해안로,,,,,,,,,,,,,,,
당오름(안덕면),,,,,,,,,,,,,,,
표선세화해안도로,,,,,,,,,,,,,,,
