LG_CAT,MD_CAT,SM_CAT,FUEL_TYPE,FUEL_COST,SCALE,FACTOR
자동차,BMW,3시리즈 M340i(2022),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 M340i x드라이브 투어링 퍼포먼스 패키지(2022),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 320i(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i 럭셔리 라인(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i M 스포츠 패키지(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i 투어링 럭셔리 라인(2022),Gasoline,11.7,kgCO2/km,0.187869402
자동차,BMW,3시리즈 320i 투어링 M 스포츠 패키지(2022),Gasoline,11.7,kgCO2/km,0.187869402
자동차,BMW,3시리즈 320e 럭셔리(2022),Gasoline/Hybrid,15.8,kgCO2/km,0.139118481
자동차,BMW,3시리즈 320e M 스포츠(2022),Gasoline/Hybrid,15.8,kgCO2/km,0.139118481
자동차,BMW,3시리즈 330e 럭셔리 라인(2022),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 330e M 스포츠 패키지(2022),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 320d x드라이브 GT 프리미엄 패키지(2021),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d x드라이브 GT M 스포츠 프리미엄 패키지(2021),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d GT 프리미엄 패키지(2021),Diesel,13,kgCO2/km,0.20413536
자동차,BMW,3시리즈 320d GT M 스포츠 프리미엄 패키지(2021),Diesel,13,kgCO2/km,0.20413536
자동차,BMW,3시리즈 320d x드라이브 럭셔리 라인(2021),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d x드라이브 M 스포츠 패키지(2021),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d 투어링 M 스포츠 패키지(2021),Diesel,14.1,kgCO2/km,0.188209906
자동차,BMW,3시리즈 320d 럭셔리 라인(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 320d M 스포츠 패키지(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 M340i(2021),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 M340i x드라이브 투어링(2021),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 M340i x드라이브 투어링 산 마리노 블루(2021),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 M340i x드라이브 투어링 M퍼포먼스(2021),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 320i(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i M 스포츠 패키지(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i 럭셔리 라인(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i M 스포츠 패키지 블랙 수트(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 330i 럭셔리 라인(2021),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,3시리즈 320i 투어링 럭셔리 라인(2021),Gasoline,11.7,kgCO2/km,0.187869402
자동차,BMW,3시리즈 330e 베이스 라인(2021),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 330e 럭셔리 라인(2021),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 330e M 스포츠 패키지(2021),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 320d x드라이브 GT(2020),Diesel,12.1,kgCO2/km,0.219318982
