,Unnamed: 0.1,Unnamed: 0,MCT_NM,naver_keyword,naver_map_url,menu_list
165,165,165,마노르블랑,제주도%20마노르블랑,https://m.place.naver.com/restaurant/1509572684/menu/list,"HOT 아메리카노, 카페라떼, 바닐라라떼, 카라멜마끼야또, 카페모카, 입장료, 요거트스무디, 블루베리스무디, 초코라떼, 녹차라떼, 제주착즙주스, 한라봉에이드, 오미자에이드, 청귤에이드, 한라봉차"
166,166,166,몬스터살롱,제주도%20몬스터살롱,https://m.place.naver.com/restaurant/35125037/menu/list,"슈퍼맨세트(50cm롱츄러스+봉자주스), 몬스터제주한우버거, 햄버거세트(소다세트), 50cm 롱츄러스, 제주흑돼지풀드포크버거, 햄버거세트(봉자주스세트), 몬츄주스, 몬츄에이드, 몬츄카노, 몬츄아이스티, 몬츄초코라떼"
167,167,167,뮤직앤뮤직,제주도%20뮤직앤뮤직,https://m.place.naver.com/restaurant/1970950519/menu/list,"중소형 룸비 1시간, 중대형 룸비 1시간"
168,168,168,반디파스타,제주도%20반디파스타,https://m.place.naver.com/restaurant/1776382371/menu/list,"전복 트러플오일 파스타, 해산물 크림파스타, 해산물 로제파스타, 해산물 오일파스타, 해산물 토마토파스타, 흑돼지 토마토 파스타, 까르보나라, 로제파스타, 전복 로제 리조또, 전복 크림 리조또, 하우스와인 레드, 하우스와인 화이트, 블루레몬에이드, 제주청귤에이드, 자몽에이드"
169,169,169,벨아벨카페,제주도%20벨아벨카페,https://m.place.naver.com/restaurant/1962037865/menu/list,"아메리카노, 카페라떼, 카페모카, 카라멜마끼야또, 바닐라라떼, 헤이즐넛라떼, 제주콥샐러드, 베이컨크림파스타, 씨푸드토마토파스타"
170,170,170,봉주르마담,제주도%20봉주르마담,https://m.place.naver.com/restaurant/38712432/menu/list,"#크로아상, #버터프레즐, #까눌레 #까늘레, #조각케이크"
171,171,171,불특정식당,제주도%20불특정식당,https://m.place.naver.com/restaurant/1285282963/menu/list,"디너(와인바), 런치12:00~14:30"
172,172,172,브라보비치,제주도%20브라보비치,https://m.place.naver.com/restaurant/1195073144/menu/list,"브라보버거세트, 아메리카노, 바닐라빈크림라떼, 카페라떼, 카푸치노, 디카페인아메리카노, 디카페인라떼, 제주한라봉라떼, 제주말차라떼, 제주흑임자라떼, 제주쑥라떼, 제주한라봉에이드, 생자몽에이드, 제주레몬에이드, 패션후르츠에이드"
173,173,173,비스트로낭,제주도%20비스트로낭,https://m.place.naver.com/restaurant/81071660/menu/list,"파스타, 스테이크, 에피타이저, 샐러드, 리조또"
174,174,174,상상함덕점,제주도%20상상함덕점,https://m.place.naver.com/restaurant/1737919751/menu/list,"제주 고등어 봉초밥, 후토마끼, 딱새우 크림 고로케, 까망베르 치즈 튀김, 흑돼지 스키야끼, 모츠나베, 숙성회1인, 모듬숙성회"
175,175,175,섭지코지로,제주도%20섭지코지로,https://m.place.naver.com/restaurant/12348587/menu/list,
176,176,176,숙성도중문,제주도%20숙성도중문,https://m.place.naver.com/restaurant/1146342571/menu/list,"720 숙성 삼겹살 (200g), 720 숙성 1% 목살 200g, 960 숙성 흑뼈등심 (350g), 갈치속젓 볶음밥, 교차숙성흑돼지(앞다리 200g), 720숙성 뼈목살 (360g), 된장술밥, 동치미열무국수, 가자미 회 비빔국수, 560 통항정 (200g), 960 숙성 나비갈비 300g"
177,177,177,스시마타네,제주도%20스시마타네,https://m.place.naver.com/restaurant/1790890751/menu/list,"런치 오마카세, 디너 오마카세"
