,Unnamed: 0,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
30,315013,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,44000,20211014,50110,31030
31,315052,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211016,50110,31030
32,315054,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,31400,20211016,50110,31030
33,315078,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211018,50110,31030
34,315089,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,6,66000,20211019,50110,31030
35,315091,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,28000,20211019,50110,31030
36,315112,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,33000,20211021,50110,31030
37,315125,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211022,50110,31030
38,315133,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,47000,20211023,50110,31030
39,315136,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,44000,20211023,50110,31030
40,315163,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,44000,20211025,50110,31030
41,315193,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211027,50110,31030
42,315198,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211028,50110,31030
43,315200,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211028,50110,31030
44,498170,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211002,50110,31030
45,498173,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,39000,20211002,50110,31030
46,498208,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211005,50110,31030
47,498238,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,28000,20211007,50110,31030
48,498253,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211009,50110,31030
49,498264,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,3,33000,20211010,50110,31030
50,498294,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20211012,50110,31030
51,498302,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,1,11000,20211012,50110,31030
52,498306,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211012,50110,31030
53,498312,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211012,50110,31030
54,498353,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,4,44000,20211014,50110,31030
55,498392,자연,생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,제주특별자치도 제주시 한경면 저지리,647723701.0,2,22000,20211016,50110,31030
