,name,carbon
143,캠퍼트리호텔앤리조트,33.32835567666667
144,케니스토리 인 서귀포 ,36.81436862909091
145,케이관광호텔제주,10.6579246435
146,클럽ES리조트 제주,0.0
147,탑팰리스호텔,7.138138208333333
148,토스카나호텔,78.290995418
149,파미유스파리조트,6.683186608700001
150,파밀리아호텔,4.2261868757
151,파인힐호텔,8.74863773290909
152,파크사이드호텔,14.9761982584
153,퍼시픽호텔,0.1066159248333333
154,펜션 에덴호스텔,0.821149233882353
155,펠리시아호텔,5.3258511599090905
156,폴에이리조트,1.7077819654
157,풍경호텔(풍경관광호텔),6.019012913900001
158,프라이빗리조트,5.6109971887
159,피노호텔,7.72136094209091
160,하니크라운호텔,13.6706948543
161,하워드존슨 제주 연동 호텔,70.66295237099999
162,해뜨는집 (도두),1.5370580232727276
163,해마관광호텔,9.3153099915
164,해안풍경펜션,2.103170781636364
165,해호텔,5.370568812000001
166,호스텔린든(Hostel lyndon),3.76487873
167,호텔 더블유 신제주점(hotel W),15.470234898
168,호텔 리젠트마린,61.097452416
169,호텔 샬롬제주,7.968918712624999
170,호텔 스카이파크 제주1호점,28.739021906000005
171,호텔난타,59.48532807818182
172,호텔더블유 탑동점,10.4588823483
173,호텔더원,32.584468706
174,호텔레오,13.8871749144
175,호텔빠레브,0.7666089078
176,호텔엘린,7.551671228800001
177,호텔제이엠,6.788652448700001
178,호텔컬리넌제주,15.894569388
179,홍익샤모니리조트,12.3123675631
180,화인호텔,16.20631288
181,휘슬락호텔,74.62729302300002
182,휴마루리조트,2.1139326886
183,힐파크모텔,3.1445791976
184,BK호텔제주,13.612307586363636
185,JK라마다앙코르 제주연동호텔,29.93759086818181
186,에프원모텔,3.3601267578
187,힐링하우스,4.907098959800001
188,제주올레모텔,8.686198327799998
189,에덴호스텔,0.821149233882353
190,사쿠라모텔,8.160568818727272
191,제주노블레스관광호텔,4.762665556352941
192,해성파크텔,7.346987303099999
193,호텔섬오름,15.56796098
194,노블레스호텔,4.269921163299999
195,골드원호텔 & 스위트,8.658736179
196,동해모텔,8.222961599545455
197,블룸호텔,28.504870955
198,오션패밀리호텔,4.885837941636364
199,제주나인리조트,0.0098845084999999
200,호텔 캘리포니아 제주,5.1591073012
