,type,carbon
0,호텔,30.491802745705733
1,리조트,10.52234169249446
2,모텔,5.320416375757273
3,펜션,2.9086049460346928
4,빌라,34.4276964105
5,캠핑,0.0
6,글램핑,0.0
7,게스트하우스,2.092489979405507
8,전체,21.43791163874801
